bucket_5min,action,action_group,metric,before_mean,after_mean,delta,delta_ratio,before_bucket_count,after_bucket_count,window_status,product_family_context,confidence
2026-02-12 16:05:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 16:05:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,8.5,9.416666666666666,0.9166666666666661,0.1078431372549019,12,12,ok,MIXED_OR_NONE,High
2026-02-12 16:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,15429.848500000002,17.294999999999998,-15412.553500000002,-0.998879120556498,12,12,ok,MIXED_OR_NONE,High
2026-02-12 16:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 16:10:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,8.666666666666666,9.5,0.8333333333333339,0.09615384615384623,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:20:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,19.0245,7593.339675,7574.315175,398.13478278009933,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:20:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:20:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,9.583333333333334,11.5,1.916666666666666,0.19999999999999993,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:25:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,591.6360000000001,7491.297491666667,6899.661491666667,11.662004157398579,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:25:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,0.0,0.0,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:25:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,9.75,11.583333333333334,1.833333333333334,0.1880341880341881,12,12,ok,MIXED_OR_NONE,High
2026-02-12 17:30:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,1225.9493333333332,7389.255308333336,6163.305975000003,5.027374139714314,12,12,ok,MIXED_OR_NONE,High
