action,action_group,metric,trigger_metric_rows,before_mean,after_mean,delta_mean,delta_ratio_mean,improved_ratio,worsened_ratio,unchanged_ratio,interpretation
CONTROL_WIP,A4,a4_long_count,127,0.4304461942257218,0.4153543307086614,-0.015091863517060369,0.6700417843833927,0.49606299212598426,0.4566929133858268,0.047244094488188976,improved_after_trigger
CONTROL_WIP,A4,a4_processing_max_sec,127,653.2849619422573,650.6244698162731,-2.6604921259842347,1.0749519655234496,0.49606299212598426,0.4881889763779528,0.015748031496062992,improved_after_trigger
DISPATCH_AMR,A3,a3_to_amr_wait_p90_recent,14,3328.6435392857143,3113.1710315476194,-215.47250773809532,7.678368320390354,0.5,0.5,0.0,improved_after_trigger
DISPATCH_AMR,A3,a3_to_c2_wait_p90_recent,14,188.8211785714286,2048.687657142857,1859.8664785714286,1.6666666666666667,0.0,0.2857142857142857,0.7142857142857143,worse_after_trigger
DISPATCH_AMR,A3,buffer_wip,14,29.38095238095238,31.535714285714285,2.1547619047619047,0.08983576165834217,0.07142857142857142,0.9285714285714286,0.0,worse_after_trigger
HOLD_ENTRY,A4,a4_long_count,87,0.4415708812260536,0.4540229885057471,0.01245210727969348,0.9132099926217574,0.4482758620689655,0.5172413793103449,0.034482758620689655,worse_after_trigger
HOLD_ENTRY,A4,a4_processing_max_sec,87,489.55027107279693,511.777596743295,22.227325670498082,1.341806103710325,0.45977011494252873,0.5287356321839081,0.011494252873563218,worse_after_trigger
PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,10939,175.5459811423957,172.07615677849896,-3.469824363896762,2.6981065567739226,0.01874028704634793,0.0180089587713685,0.9632507541822836,improved_after_trigger
PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,10939,44.759183649480455,67.1244781881342,22.36529453865375,5.104371545367223,0.004113721546759302,0.007221866715421885,0.9886644117378188,worse_after_trigger
PRIORITIZE_DISCHARGE,A3,buffer_wip,10939,80.95411676874791,80.97946186427767,0.025345095529755914,0.00043763035662853556,0.01691196635889935,0.03409818082091599,0.9489898528201847,worse_after_trigger
SCHEDULE_RAIL,RAIL,active_rail_count,1292,2.967169762641899,2.969492134972011,0.0023223723301122696,0.4123521747066368,0.37306501547987614,0.35526315789473684,0.27167182662538697,worse_after_trigger
SCHEDULE_RAIL,RAIL,rail_event_count,1292,250.78457172342624,266.5883893110674,15.803817587641115,2.757980675632446,0.4775541795665635,0.5085139318885449,0.01393188854489164,worse_after_trigger
