resource,bottleneck_rank,processing_p90_sec,waiting_p90_sec,alarm_ratio,run_ratio,related_transition_count,top_related_transition,top_related_wait_p90_sec
AMR_LD90,3,123.8448,174.20350000000002,0.07944630813863,0.0633229007395982,2,C1_RAW_STORAGE->AMR_LD90,174.20350000000002
AMR_LD250,12,140.1716,1628.3830000000005,0.001762068194669,0.0654148092626928,5,A3->AMR_LD250,1628.3830000000005
