PRD_CD,normal_route,support_count_exact,serial_count_total,support_ratio_exact,normal_serial_count,normal_serial_ratio,analysis_policy
PRD1000,C1_RAW_STORAGE > A1 > A2 > A4 > A5 > A6_KONA > A7 > A9_2 > A8 > A9_2 > A3,51,137,0.3722627737226277,124,0.9051094890510949,Keep serials whose normalized route is the product normal route or a prefix of it; strip AMR_LD90/AMR_LD250/C2 for route validation only.
PRD2000,C1_RAW_STORAGE > A1 > A2 > A4 > A5 > A6_TESLA > A7 > A9_2 > A8 > A9_2 > A3,50,95,0.5263157894736842,89,0.9368421052631579,Keep serials whose normalized route is the product normal route or a prefix of it; strip AMR_LD90/AMR_LD250/C2 for route validation only.
PRD3001,C1_RAW_STORAGE > A1 > A2 > A7 > A5 > A9_1 > A3,34,53,0.6415094339622641,45,0.8490566037735849,Keep serials whose normalized route is the product normal route or a prefix of it; strip AMR_LD90/AMR_LD250/C2 for route validation only.
PRD3002,C1_RAW_STORAGE > A1 > A2 > A7 > A5 > A9_1 > A3,26,39,0.6666666666666666,36,0.9230769230769231,Keep serials whose normalized route is the product normal route or a prefix of it; strip AMR_LD90/AMR_LD250/C2 for route validation only.
