bucket_5min,buffer_wip,finished_storage_wip,a3_to_amr_wait_p90_recent,a3_to_c2_wait_p90_recent,a3_to_amr_wait_event_count_recent,a3_to_c2_wait_event_count_recent,a3_completed_count,a4_active_count,a4_long_count,a4_processing_max_sec,rail_event_count,active_rail_count,handle_rail_events,room_mirror_rail_events,dominant_product_family
2026-02-11 14:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:20:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:25:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:35:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:40:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:50:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 14:55:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:05:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:10:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:20:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:25:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:35:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:40:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:50:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 15:55:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 16:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 16:05:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
2026-02-11 16:10:00,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MIXED_OR_NONE
