event_time,area,source_table,PRD_SRL_NO,PRD_CD,CMP_EQ_ID,STRG_CD,SLOT_NM,delta,wip
2026-02-23 14:58:08.369,BUFFER,strg_buf_in,PRD2000-260223011-0001,PRD2000,EQ05,SR03,4,1,14
2026-02-23 14:59:31.240,BUFFER,strg_buf_out,PRD2000-260223011-0001,PRD2000,EQ05,SR04,0,-1,13
2026-02-23 16:07:41.519,BUFFER,strg_buf_in,PRD2000-260223013-0001,PRD2000,EQ05,SR03,4,1,14
2026-02-23 16:09:15.665,BUFFER,strg_buf_out,PRD2000-260223013-0001,PRD2000,EQ05,SR04,0,-1,13
2026-02-23 16:18:05.593,BUFFER,strg_buf_in,PRD2000-260223012-0001,PRD2000,EQ05,SR03,4,1,14
2026-02-23 16:19:41.658,BUFFER,strg_buf_out,PRD2000-260223012-0001,PRD2000,EQ05,SR04,0,-1,13
2026-02-23 16:23:41.770,BUFFER,strg_buf_in,PRD2000-260223014-0001,PRD2000,EQ05,SR03,4,1,14
2026-02-23 16:25:09.867,BUFFER,strg_buf_out,PRD2000-260223014-0001,PRD2000,EQ05,SR04,0,-1,13
2026-02-23 16:30:41.744,BUFFER,strg_buf_in,PRD2000-260223015-0001,PRD2000,EQ05,SR03,4,1,14
2026-02-23 16:32:17.380,BUFFER,strg_buf_out,PRD2000-260223015-0001,PRD2000,EQ05,SR04,0,-1,13
2026-02-25 10:14:28.604,BUFFER,strg_buf_in,PRD3001-260225001-0001,PRD3001,EQ05,SR03,1,1,14
2026-02-25 10:32:07.489,BUFFER,strg_buf_in,PRD3001-260225002-0001,PRD3001,EQ05,SR03,2,1,15
2026-02-25 10:37:50.822,BUFFER,strg_buf_in,PRD3002-260225003-0001,PRD3002,EQ05,SR03,3,1,16
2026-02-25 10:45:53.457,BUFFER,strg_buf_in,PRD3001-260225004-0001,PRD3001,EQ05,SR03,4,1,17
2026-02-25 11:05:07.138,BUFFER,strg_buf_in,PRD3002-260225005-0001,PRD3002,EQ05,SR03,5,1,18
2026-02-25 11:10:58.881,BUFFER,strg_buf_in,PRD3001-260225007-0001,PRD3001,EQ05,SR03,1,1,19
2026-02-25 11:15:46.813,BUFFER,strg_buf_in,PRD3002-260225006-0001,PRD3002,EQ05,SR03,6,1,20
2026-02-25 11:31:45.779,BUFFER,strg_buf_out,PRD3001-260225007-0001,PRD3001,EQ05,SR04,0,-1,19
2026-02-25 11:31:56.442,BUFFER,strg_buf_out,PRD3001-260225002-0001,PRD3001,EQ05,SR04,0,-1,18
2026-02-25 14:04:30.670,BUFFER,strg_buf_out,PRD3002-260225003-0001,PRD3002,EQ05,SR04,0,-1,17
2026-02-25 18:00:35.846,BUFFER,strg_buf_in,PRD1000-260225500-0001,PRD1000,EQ05,SR03,1,1,18
2026-02-25 18:27:23.744,BUFFER,strg_buf_in,PRD2000-260225501-0001,PRD2000,EQ05,SR03,1,1,19
2026-02-25 18:35:47.574,BUFFER,strg_buf_in,PRD2000-260225501-0002,PRD2000,EQ05,SR03,1,1,20
2026-02-25 19:54:33.735,BUFFER,strg_buf_in,PRD1000-260225013-0001,PRD1000,EQ05,SR03,1,1,21
2026-02-25 20:27:39.602,BUFFER,strg_buf_in,PRD3002-260225014-0001,PRD3002,EQ05,SR03,1,1,22
2026-02-25 20:44:34.243,BUFFER,strg_buf_out,PRD3002-260225014-0001,PRD3002,EQ05,SR04,0,-1,21
2026-02-25 20:44:44.485,BUFFER,strg_buf_out,PRD3001-260225004-0001,PRD3001,EQ05,SR04,0,-1,20
2026-02-25 23:15:47.709,BUFFER,strg_buf_in,PRD1000-260225015-0001,PRD1000,EQ05,SR03,1,1,21
2026-02-25 23:39:39.189,BUFFER,strg_buf_in,PRD3001-260225017-0001,PRD3001,EQ05,SR03,1,1,22
2026-02-26 14:30:49.476,BUFFER,strg_buf_in,PRD1000-260226002-0001,PRD1000,EQ05,SR03,1,1,23
2026-02-26 14:40:20.038,BUFFER,strg_buf_in,PRD1000-260226002-0002,PRD1000,EQ05,SR03,2,1,24
2026-02-26 14:45:21.573,BUFFER,strg_buf_in,PRD2000-260226003-0001,PRD2000,EQ05,SR03,3,1,25
2026-02-26 14:48:53.755,BUFFER,strg_buf_in,PRD3001-260226004-0001,PRD3001,EQ05,SR03,4,1,26
2026-02-26 14:51:51.952,BUFFER,strg_buf_in,PRD2000-260226003-0002,PRD2000,EQ05,SR03,5,1,27
2026-02-26 14:54:05.227,BUFFER,strg_buf_in,PRD3002-260226005-0001,PRD3002,EQ05,SR03,6,1,28
2026-02-26 15:07:14.692,BUFFER,strg_buf_in,PRD3002-260226006-0001,PRD3002,EQ05,SR03,1,1,29
2026-02-26 16:06:38.588,BUFFER,strg_buf_out,PRD1000-260226002-0001,PRD1000,EQ05,SR04,0,-1,28
2026-02-26 16:06:46.888,BUFFER,strg_buf_out,PRD2000-260226003-0001,PRD2000,EQ05,SR04,0,-1,27
2026-02-26 16:40:56.363,BUFFER,strg_buf_out,PRD2000-260226003-0002,PRD2000,EQ05,SR04,0,-1,26
2026-02-26 17:52:50.800,BUFFER,strg_buf_out,PRD1000-260226002-0002,PRD1000,EQ05,SR04,0,-1,25
2026-03-04 14:54:36.621,BUFFER,strg_buf_in,PRD3001-260304004-0001,PRD3001,EQ05,SR03,2,1,26
2026-03-04 14:56:07.405,BUFFER,strg_buf_in,PRD2000-260304002-0001,PRD2000,EQ05,SR03,3,1,27
2026-03-04 16:08:59.463,BUFFER,strg_buf_in,PRD2000-260304006-0002,PRD2000,EQ05,SR03,7,1,28
2026-03-04 16:17:43.983,BUFFER,strg_buf_in,PRD1000-260304005-0001,PRD1000,EQ05,SR03,1,1,29
2026-03-04 16:18:38.404,BUFFER,strg_buf_in,PRD3002-260304008-0001,PRD3002,EQ05,SR03,8,1,30
2026-03-04 16:31:25.873,BUFFER,strg_buf_in,PRD3001-260304011-0001,PRD3001,EQ05,SR03,10,1,31
2026-03-04 16:34:53.570,BUFFER,strg_buf_in,PRD1000-260304009-0001,PRD1000,EQ05,SR03,11,1,32
2026-03-05 15:28:25.460,BUFFER,strg_buf_in,PRD1000-260305001-0001,PRD1000,EQ05,SR03,1,1,33
2026-03-05 15:44:54.898,BUFFER,strg_buf_in,PRD3001-260305002-0001,PRD3001,EQ05,SR03,2,1,34
2026-03-05 16:26:15.584,BUFFER,strg_buf_in,PRD3002-260305003-0001,PRD3002,EQ05,SR03,3,1,35
2026-03-05 17:24:26.923,BUFFER,strg_buf_in,PRD1000-260305004-0002,PRD1000,EQ05,SR03,4,1,36
2026-03-05 17:31:35.510,BUFFER,strg_buf_in,PRD1000-260305004-0001,PRD1000,EQ05,SR03,5,1,37
2026-03-05 18:19:13.157,BUFFER,strg_buf_in,PRD2000-260305005-0002,PRD2000,EQ05,SR03,6,1,38
2026-03-05 18:26:27.108,BUFFER,strg_buf_in,PRD2000-260305005-0001,PRD2000,EQ05,SR03,7,1,39
2026-03-05 19:45:51.629,BUFFER,strg_buf_in,PRD3001-260305006-0001,PRD3001,EQ05,SR03,8,1,40
2026-03-05 20:16:44.565,BUFFER,strg_buf_in,PRD3002-260305007-0001,PRD3002,EQ05,SR03,9,1,41
2026-03-05 20:57:41.063,BUFFER,strg_buf_out,PRD1000-260305001-0001,PRD1000,EQ05,SR04,0,-1,40
2026-03-05 20:57:51.075,BUFFER,strg_buf_out,PRD1000-260305004-0002,PRD1000,EQ05,SR04,0,-1,39
2026-03-05 21:02:43.757,BUFFER,strg_buf_out,PRD1000-260305004-0001,PRD1000,EQ05,SR04,0,-1,38
2026-03-05 21:43:09.391,BUFFER,strg_buf_out,PRD2000-260305005-0002,PRD2000,EQ05,SR04,0,-1,37
2026-03-05 22:03:12.359,BUFFER,strg_buf_out,PRD2000-260305005-0001,PRD2000,EQ05,SR04,0,-1,36
2026-03-05 22:14:49.326,BUFFER,strg_buf_out,PRD3001-260305002-0001,PRD3001,EQ05,SR04,0,-1,35
2026-03-06 11:25:19.952,BUFFER,strg_buf_in,PRD3002-260306002-0001,PRD3002,EQ05,SR03,1,1,36
2026-03-06 11:31:03.949,BUFFER,strg_buf_in,PRD3001-260306003-0001,PRD3001,EQ05,SR03,2,1,37
2026-03-06 11:50:15.874,BUFFER,strg_buf_in,PRD2000-260306004-0001,PRD2000,EQ05,SR03,4,1,38
2026-03-06 12:16:10.237,BUFFER,strg_buf_in,PRD1000-260306005-0001,PRD1000,EQ05,SR03,5,1,39
2026-03-06 16:26:52.252,BUFFER,strg_buf_in,PRD1000-260306006-0001,PRD1000,EQ05,SR03,6,1,40
2026-03-06 17:01:41.155,BUFFER,strg_buf_out,PRD1000-260306005-0001,PRD1000,EQ05,SR04,0,-1,39
2026-03-06 17:06:35.900,BUFFER,strg_buf_out,PRD1000-260306006-0001,PRD1000,EQ05,SR04,0,-1,38
2026-03-06 17:11:32.512,BUFFER,strg_buf_out,PRD2000-260306004-0001,PRD2000,EQ05,SR04,0,-1,37
2026-03-06 17:46:48.063,BUFFER,strg_buf_out,PRD3002-260306002-0001,PRD3002,EQ05,SR04,0,-1,36
2026-03-06 17:46:58.505,BUFFER,strg_buf_out,PRD3001-260306003-0001,PRD3001,EQ05,SR04,0,-1,35
2026-03-11 09:57:32.416,BUFFER,strg_buf_in,PRD3001-260311003-0001,PRD3001,EQ05,SR03,1,1,36
2026-03-11 10:01:43.629,BUFFER,strg_buf_in,PRD1000-260311001-0002,PRD1000,EQ05,SR03,2,1,37
2026-03-11 10:06:01.217,BUFFER,strg_buf_in,PRD2000-260311002-0001,PRD2000,EQ05,SR03,3,1,38
2026-03-11 10:06:53.299,BUFFER,strg_buf_in,PRD3002-260311004-0001,PRD3002,EQ05,SR03,4,1,39
2026-03-11 10:10:18.251,BUFFER,strg_buf_in,PRD3001-260311003-0002,PRD3001,EQ05,SR03,5,1,40
2026-03-11 10:12:02.979,BUFFER,strg_buf_out,PRD1000-260311001-0002,PRD1000,EQ05,SR04,0,-1,39
2026-03-11 10:15:54.530,BUFFER,strg_buf_in,PRD1000-260311001-0001,PRD1000,EQ05,SR03,2,1,40
2026-03-11 10:17:25.008,BUFFER,strg_buf_out,PRD1000-260311001-0001,PRD1000,EQ05,SR04,0,-1,39
2026-03-11 10:35:46.525,BUFFER,strg_buf_in,PRD3001-260311006-0001,PRD3001,EQ05,SR03,2,1,40
2026-03-11 10:37:27.188,BUFFER,strg_buf_out,PRD2000-260311002-0001,PRD2000,EQ05,SR04,0,-1,39
2026-03-11 10:41:53.690,BUFFER,strg_buf_in,PRD3002-260311005-0001,PRD3002,EQ05,SR03,3,1,40
2026-03-11 11:03:49.669,BUFFER,strg_buf_in,PRD1000-260311008-0001,PRD1000,EQ05,SR03,1,1,41
2026-03-11 11:05:00.937,BUFFER,strg_buf_in,PRD3002-260311010-0001,PRD3002,EQ05,SR03,6,1,42
2026-03-11 11:12:16.789,BUFFER,strg_buf_in,PRD2000-260311009-0002,PRD2000,EQ05,SR03,1,1,43
2026-03-11 11:17:26.127,BUFFER,strg_buf_in,PRD2000-260311009-0001,PRD2000,EQ05,SR03,1,1,44
2026-03-11 11:23:09.219,BUFFER,strg_buf_out,PRD2000-260311009-0001,PRD2000,EQ05,SR04,0,-1,43
2026-03-11 11:23:19.542,BUFFER,strg_buf_out,PRD3001-260311006-0001,PRD3001,EQ05,SR04,0,-1,42
2026-03-11 11:48:35.669,BUFFER,strg_buf_in,PRD2000-260311007-0001,PRD2000,EQ05,SR03,1,1,43
2026-03-11 11:54:00.631,BUFFER,strg_buf_in,PRD3001-260311012-0001,PRD3001,EQ05,SR03,2,1,44
2026-03-11 11:59:15.756,BUFFER,strg_buf_in,PRD3002-260311011-0001,PRD3002,EQ05,SR03,7,1,45
2026-03-11 12:16:05.378,BUFFER,strg_buf_in,PRD3001-260311012-0002,PRD3001,EQ05,SR03,8,1,46
2026-03-11 12:56:33.335,BUFFER,strg_buf_in,PRD1000-260311014-0001,PRD1000,EQ05,SR03,1,1,47
2026-03-11 13:25:28.831,BUFFER,strg_buf_out,PRD1000-260311014-0001,PRD1000,EQ05,SR04,0,-1,46
2026-03-11 13:25:39.376,BUFFER,strg_buf_out,PRD3001-260311012-0001,PRD3001,EQ05,SR04,0,-1,45
2026-03-11 13:30:44.600,BUFFER,strg_buf_out,PRD3002-260311005-0001,PRD3002,EQ05,SR04,0,-1,44
2026-03-11 14:26:31.591,BUFFER,strg_buf_in,PRD2000-260311016-0001,PRD2000,EQ05,SR03,1,1,45
2026-03-11 14:27:26.311,BUFFER,strg_buf_in,PRD3001-260311015-0001,PRD3001,EQ05,SR03,2,1,46
